true_positives,false_positives,false_negatives,precision,recall,f1,image,condition,n_predicted,n_true
10,11,5,0.47619047619047616,0.6666666666666666,0.5555555555555556,NI231117_SMI31-488_20x_Piox1_01.czi,low_beads,21,15
9,8,8,0.5294117647058824,0.5294117647058824,0.5294117647058824,NI231117_SMI31-488_20x_Piox1_02.czi,low_beads,17,17
8,7,5,0.5333333333333333,0.6153846153846154,0.5714285714285715,NI231117_SMI31-488_20x_Piox1_03.czi,low_beads,15,13
9,17,4,0.34615384615384615,0.6923076923076923,0.46153846153846156,NI231117_SMI31-488_20x_Piox1_04.czi,low_beads,26,13
2,11,9,0.15384615384615385,0.18181818181818182,0.16666666666666669,NI231117_SMI31-488_20x_Piox1_05.czi,low_beads,13,11
3,22,6,0.12,0.3333333333333333,0.1764705882352941,NI240119_SMI31-488_20x_CHIR_01.czi,low_beads,25,9
9,21,10,0.3,0.47368421052631576,0.3673469387755102,NI240119_SMI31-488_20x_CHIR_02.czi,low_beads,30,19
10,45,3,0.18181818181818182,0.7692307692307693,0.29411764705882354,NI240119_SMI31-488_20x_CHIR_03.czi,low_beads,55,13
0,20,6,0.0,0.0,0.0,NI240119_SMI31-488_20x_CHIR_04.czi,low_beads,20,6
6,19,3,0.24,0.6666666666666666,0.3529411764705882,NI240119_SMI31-488_20x_CHIR_05.czi,low_beads,25,9
3,35,6,0.07894736842105263,0.3333333333333333,0.12765957446808512,NI240119_SMI31-488_20x_Pio_01.czi,low_beads,38,9
7,30,4,0.1891891891891892,0.6363636363636364,0.2916666666666667,NI240119_SMI31-488_20x_Pio_02.czi,low_beads,37,11
2,19,3,0.09523809523809523,0.4,0.15384615384615385,NI240119_SMI31-488_20x_Pio_03.czi,low_beads,21,5
3,39,9,0.07142857142857142,0.25,0.11111111111111112,NI240119_SMI31-488_20x_Pio_04.czi,low_beads,42,12
9,22,2,0.2903225806451613,0.8181818181818182,0.4285714285714286,NI240119_SMI31-488_20x_Pio_05.czi,low_beads,31,11
